Bairros SP;Bairros Fortaleza;Bairros RJ;Causa Afastamento 1;Causa Afastamento 2;Causa Afastamento 3;Motivo Desligamento;CBO Ocupação 2002;CNAE 2.0 Classe;CNAE 95 Classe;Distritos SP;Vínculo Ativo 31/12;Faixa Etária;Faixa Hora Contrat;Faixa Remun Dezem (SM);Faixa Remun Média (SM);Faixa Tempo Emprego;Escolaridade após 2005;Qtd Hora Contr;Idade;Ind CEI Vinculado;Ind Simples;Mês Admissão;Mês Desligamento;Mun Trab;Município;Nacionalidade;Natureza Jurídica;Ind Portador Defic;Qtd Dias Afastamento;Raça Cor;Regiões Adm DF;Vl Remun Dezembro Nom;Vl Remun Dezembro (SM);Vl Remun Média Nom;Vl Remun Média (SM);CNAE 2.0 Subclasse;Sexo Trabalhador;Tamanho Estabelecimento;Tempo Emprego;Tipo Admissão;Tipo Estab;Tipo Estab;Tipo Defic;Tipo Vínculo;IBGE Subsetor;Vl Rem Janeiro SC;Vl Rem Fevereiro SC;Vl Rem Março SC;Vl Rem Abril SC;Vl Rem Maio SC;Vl Rem Junho SC;Vl Rem Julho SC;Vl Rem Agosto SC;Vl Rem Setembro SC;Vl Rem Outubro SC;Vl Rem Novembro SC;Ano Chegada Brasil;Ind Trab Intermitente;Ind Trab Parcial
                9997;                9997;                9997;99;99;99;12;623305;01555;00999;                9997;0;04;06;99;02;01;                  01;  44;  25;0;0;08;10;411845;999999;24;9999;0;   0;08;9997;0000000000,00;000000,00;0000001955,13;000001,38;0155505;                  01;03;     2,9;02;05;CAEPF               ;00;75;25;         n/d;         n/d;         n/d;         n/d;         n/d;         n/d;         n/d;000001964,02;000001990,32;000001911,06;         n/d;1198;0;0
                9997;                9997;                9997;99;99;99;12;623305;01555;00999;                9997;0;07;06;99;02;01;                  01;  44;  55;0;0;08;10;411845;999999;24;9999;0;   0;08;9997;0000000000,00;000000,00;0000001955,13;000001,38;0155505;                  01;03;     2,9;02;05;CAEPF               ;00;75;25;         n/d;         n/d;         n/d;         n/d;         n/d;         n/d;         n/d;000001964,02;000001990,32;000001911,06;         n/d;1198;0;0
                9997;                9997;                9997;99;99;99;21;623305;01555;00999;                9997;0;03;06;99;02;01;                  01;  44;  23;0;0;08;10;411845;999999;24;9999;0;   0;08;9997;0000000000,00;000000,00;0000001977,17;000001,40;0155505;                  01;03;     2,0;02;05;CAEPF               ;00;25;25;         n/d;         n/d;         n/d;         n/d;         n/d;         n/d;         n/d;000001964,02;000001990,32;000000052,24;         n/d;1198;0;0
                9997;                9997;                9997;99;99;99;12;623305;01555;00999;                9997;0;03;06;99;02;01;                  01;  44;  18;0;0;08;10;411845;999999;24;9999;0;   0;08;9997;0000000000,00;000000,00;0000001955,13;000001,38;0155505;                  01;03;     2,9;02;05;CAEPF               ;00;75;25;         n/d;         n/d;         n/d;         n/d;         n/d;         n/d;         n/d;000001964,02;000001990,32;000001911,06;         n/d;1198;0;0
                9997;                9997;                9997;99;99;99;12;623305;01555;00999;                9997;0;04;06;99;02;01;                  01;  44;  27;0;0;08;10;411845;999999;24;9999;0;   0;08;9997;0000000000,00;000000,00;0000001955,13;000001,38;0155505;                  01;03;     2,9;02;05;CAEPF               ;00;75;25;         n/d;         n/d;         n/d;         n/d;         n/d;         n/d;         n/d;000001964,02;000001990,32;000001911,06;         n/d;1198;0;0
                9997;                9997;                9997;99;99;99;12;622110;01130;00999;                9997;0;08;06;99;01;01;                  01;  44;  68;0;0;09;11;251150;999999;10;9999;0;   0;08;9997;0000000000,00;000000,00;0000001396,84;000000,99;0113000;                  01;01;     1,9;02;05;CAEPF               ;00;75;25;         n/d;         n/d;         n/d;         n/d;         n/d;         n/d;         n/d;         n/d;000000048,17;000001445,00;000001348,67;1198;0;0
                9997;                9997;                9997;99;99;99;21;621005;01334;00999;                9997;0;05;06;99;01;01;                  01;  44;  35;0;0;10;11;320320;999999;10;9999;0;   0;04;9997;0000000000,00;000000,00;0000001141,01;000000,80;0133405;                  01;04;     0,9;02;05;CAEPF               ;00;65;25;         n/d;         n/d;         n/d;         n/d;         n/d;         n/d;         n/d;         n/d;         n/d;000001141,01;000000294,76;1198;0;0
                9997;                9997;                9997;99;99;99;21;621005;01512;00999;                9997;0;03;06;99;01;01;                  01;  44;  24;0;0;10;11;110002;999999;10;9999;0;   0;08;9997;0000000000,00;000000,00;0000001005,27;000000,71;0151201;                  01;02;     0,9;02;05;CAEPF               ;00;65;25;         n/d;         n/d;         n/d;         n/d;         n/d;         n/d;         n/d;         n/d;         n/d;000001005,27;000000026,66;1198;0;0
                9997;                9997;                9997;99;99;99;11;623115;01512;00999;                9997;0;07;08;99;02;05;                  01;  48;  54;0;0;00;11;291680;999999;10;9999;0;   0;08;9997;0000000000,00;000000,00;0000001471,90;000001,04;0151202;                  01;01;    25,4;00;05;CAEPF               ;00;25;25;000001412,00;000001412,00;000001412,00;000001412,00;000001412,00;000001412,00;000001412,00;000001412,00;000001412,00;000001412,00;000002070,93;1198;0;0
                9997;                9997;                9997;99;99;99;11;623305;01555;00999;                9997;0;05;06;99;02;01;                  01;  44;  37;0;0;10;11;411845;999999;24;9999;0;   0;08;9997;0000000000,00;000000,00;0000001980,52;000001,40;0155505;                  01;04;     1,9;02;05;CAEPF               ;00;75;25;         n/d;         n/d;         n/d;         n/d;         n/d;         n/d;         n/d;         n/d;         n/d;000002004,59;000001956,45;1198;0;0
